Campaign,Ad Group,Ad group status,Keyword,Type,Status
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,masāža piņķos,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,masāža piņķos,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,masieris piņķos,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,masieris piņķos,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,masāža babītē,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,masāža babītē,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,masieris babītē,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,masieris babītē,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,muguras masāža,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,muguras masāža,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,sporta masāža,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,sporta masāža,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,masāža tuvumā,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,masāža tuvumā,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,sejas masāža,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio LV,Enabled,sejas masāža,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массаж пиньки,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массаж пиньки,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массаж бабите,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массаж бабите,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массаж иманта,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массаж иманта,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массаж рядом,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массаж рядом,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массаж спины,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массаж спины,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массаж шеи,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массаж шеи,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,спортивный массаж,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,спортивный массаж,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массажист пиньки,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio RU,Enabled,массажист пиньки,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,massage pinki,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,massage pinki,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,massage babite,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,massage babite,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,massage near me,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,massage near me,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,back massage near me,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,back massage near me,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,sports massage,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,sports massage,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,massage therapist near me,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,massage therapist near me,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,massage imanta,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,massage imanta,Phrase,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,face massage near me,Exact,Enabled
SEARCH | Studio | Local | 2026-08,Studio EN,Enabled,face massage near me,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile LV,Enabled,masāža uz mājām,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile LV,Enabled,masāža uz mājām,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile LV,Enabled,masieris uz mājām,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile LV,Enabled,masieris uz mājām,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile LV,Enabled,masāža jūrmalā,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile LV,Enabled,masāža jūrmalā,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile LV,Enabled,masāža mājās,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile LV,Enabled,masāža mājās,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile LV,Enabled,mobilā masāža,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile LV,Enabled,mobilā masāža,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile LV,Enabled,masāža viesnīcā,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile LV,Enabled,masāža viesnīcā,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,массаж на дому,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,массаж на дому,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,массаж с выездом,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,массаж с выездом,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,массаж на дом юрмала,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,массаж на дом юрмала,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,массаж юрмала,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,массаж юрмала,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,выездной массаж,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,выездной массаж,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,массаж дома,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,массаж дома,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,массаж в отеле,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile RU,Enabled,массаж в отеле,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,mobile massage,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,mobile massage,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,massage at home,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,massage at home,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,home massage,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,home massage,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,mobile massage jurmala,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,mobile massage jurmala,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,massage jurmala,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,massage jurmala,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,hotel massage,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,hotel massage,Phrase,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,massage at hotel,Exact,Enabled
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Mobile EN,Enabled,massage at hotel,Phrase,Enabled
